game_id,condition,state,mean_reasoning_chars,n_orders
scrambled_text_opus_20260426_221514_422f,scrambled,yan,185.8,100
scrambled_text_opus_20260427_064006_cb32,scrambled,qin,199.7,90
scrambled_text_opus_20260427_064006_cb32,scrambled,han,572.2,22
scrambled_text_opus_20260427_064006_cb32,scrambled,wei,218.8,83
scrambled_text_opus_20260427_064006_cb32,scrambled,zhao,382.2,23
scrambled_text_opus_20260427_064006_cb32,scrambled,qi,239.3,68
scrambled_text_opus_20260427_064006_cb32,scrambled,chu,206.1,86
scrambled_text_opus_20260427_064006_cb32,scrambled,yan,182.2,117
scrambled_text_opus_20260427_100040_de3f,scrambled,qin,323.7,58
scrambled_text_opus_20260427_100040_de3f,scrambled,han,874.5,24
scrambled_text_opus_20260427_100040_de3f,scrambled,wei,198.9,110
scrambled_text_opus_20260427_100040_de3f,scrambled,zhao,306.7,33
scrambled_text_opus_20260427_100040_de3f,scrambled,qi,182.8,106
scrambled_text_opus_20260427_100040_de3f,scrambled,chu,228.2,89
scrambled_text_opus_20260427_100040_de3f,scrambled,yan,192.7,108
